Date,Close,Predictions
2018-06-14,376.5,391.99344
2018-06-15,378.25,392.34018
2018-06-18,370.9,392.4495
2018-06-19,371.2,392.18814
2018-06-20,371.9,391.50134
2018-06-21,368.7,390.45203
2018-06-22,374.55,389.1093
2018-06-25,374.15,387.70343
2018-06-26,380.2,386.45468
2018-06-27,375.65,385.63806
2018-06-28,377.95,385.31934
2018-06-29,381.95,385.48343
2018-07-02,368.05,386.12457
2018-07-03,370.75,386.8827
2018-07-04,367.4,387.45917
2018-07-05,363.4,387.61703
2018-07-06,362.25,387.18365
2018-07-09,362.1,386.11902
2018-07-10,367.8,384.5249
2018-07-11,362.0,382.71667
2018-07-12,362.15,380.89755
2018-07-13,358.95,379.21094
2018-07-16,347.4,377.68707
2018-07-17,342.55,376.09146
2018-07-18,336.8,374.1448
2018-07-19,345.0,371.6203
2018-07-20,345.4,368.67236
2018-07-23,358.95,365.6233
2018-07-24,356.8,363.0776
2018-07-25,352.3,361.45987
2018-07-26,357.65,360.83484
2018-07-27,364.7,361.15543
2018-07-30,383.25,362.3931
2018-07-31,390.6,364.79074
2018-08-01,384.5,368.5574
2018-08-02,373.0,373.45734
2018-08-03,374.5,378.73508
2018-08-06,385.75,383.63333
2018-08-07,381.9,387.8389
2018-08-08,385.3,391.17615
2018-08-09,367.05,393.66724
2018-08-10,369.8,395.0324
2018-08-13,370.15,395.1676
2018-08-14,367.0,394.194
2018-08-16,372.0,392.3294
2018-08-17,371.4,389.98352
2018-08-20,370.55,387.56183
2018-08-21,368.25,385.36685
2018-08-23,369.9,383.5392
2018-08-24,368.95,382.1587
2018-08-27,379.15,381.2213
2018-08-28,376.8,380.88687
2018-08-29,374.9,381.19614
2018-08-30,383.1,382.027
2018-08-31,383.85,383.35318
2018-09-03,383.8,385.11664
2018-09-04,378.35,387.18427
2018-09-05,372.05,389.25623
2018-09-06,372.3,390.91644
2018-09-07,389.6,391.88354
2018-09-10,388.4,392.43515
2018-09-11,378.7,392.90933
2018-09-12,376.7,393.33362
2018-09-14,383.6,393.5944
2018-09-17,382.05,393.737
2018-09-18,373.7,393.80972
2018-09-19,370.05,393.6752
2018-09-21,370.5,393.1458
2018-09-24,356.2,392.15356
2018-09-25,360.5,390.46378
2018-09-26,361.3,388.08853
2018-09-27,356.8,385.24713
2018-09-28,338.55,382.1583
2018-10-01,326.75,378.6838
2018-10-03,318.45,374.518
2018-10-04,310.15,369.42056
2018-10-05,298.6,363.30414
2018-10-08,295.2,356.17148
2018-10-09,289.0,348.245
2018-10-10,295.1,339.86035
2018-10-11,285.35,331.60324
2018-10-12,290.05,323.8937
2018-10-15,291.1,317.1425
2018-10-16,294.0,311.6696
2018-10-17,288.5,307.6878
2018-10-19,287.3,305.12387
2018-10-22,285.75,303.72388
2018-10-23,285.9,303.14465
2018-10-24,315.85,303.06345
2018-10-25,295.55,303.79578
2018-10-26,297.95,305.2491
2018-10-29,294.1,307.17407
2018-10-30,292.6,309.19604
2018-10-31,292.35,310.95093
2018-11-01,293.5,312.1903
2018-11-02,302.05,312.83563
2018-11-05,303.2,313.0965
2018-11-06,305.05,313.24777
2018-11-07,306.25,313.5273
2018-11-09,299.75,314.07892
2018-11-12,296.2,314.7995
2018-11-13,297.55,315.44553
2018-11-14,301.3,315.8377
2018-11-15,304.4,315.96967
2018-11-16,332.75,315.97217
2018-11-19,336.85,316.5334
2018-11-20,331.95,318.2781
2018-11-21,332.7,321.33514
2018-11-22,327.85,325.45105
2018-11-26,334.55,330.05197
2018-11-27,328.15,334.65854
2018-11-28,314.1,338.76382
2018-11-29,317.2,341.72028
2018-11-30,313.5,343.19882
2018-12-03,319.75,343.1365
2018-12-04,318.55,341.8612
2018-12-05,312.8,339.82907
2018-12-06,304.0,337.38156
2018-12-07,303.95,334.62946
2018-12-10,294.95,331.6676
2018-12-11,290.25,328.46335
2018-12-12,305.55,324.96204
2018-12-13,303.1,321.52124
2018-12-14,319.25,318.51202
2018-12-17,315.2,316.50705
2018-12-18,317.8,315.79825
2018-12-19,322.7,316.42117
2018-12-20,316.55,318.26672
2018-12-21,307.9,320.93356
2018-12-24,309.1,323.76215
2018-12-26,320.45,326.19885
2018-12-27,316.7,328.1331
2018-12-28,316.55,329.56253
2018-12-31,312.5,330.53702
2019-01-01,319.5,331.05157
2019-01-02,312.65,331.26175
2019-01-03,313.5,331.20712
2019-01-04,322.45,330.9244
2019-01-07,324.95,330.6416
2019-01-08,329.25,330.6164
2019-01-09,334.5,331.08145
2019-01-10,337.3,332.2217
2019-01-11,335.1,334.10284
2019-01-14,331.6,336.5692
2019-01-15,337.75,339.2708
2019-01-16,333.95,341.96698
2019-01-17,332.05,344.40182
2019-01-18,311.15,346.34564
2019-01-21,311.35,347.25226
2019-01-22,304.85,346.7821
2019-01-23,303.7,344.80908
2019-01-24,301.65,341.49625
2019-01-25,307.5,337.20462
2019-01-28,305.15,332.5301
2019-01-29,307.85,328.01697
2019-01-30,303.7,324.13034
2019-01-31,306.4,321.08298
2019-02-01,311.85,318.9653
2019-02-04,306.55,317.8527
2019-02-05,308.2,317.6049
2019-02-06,308.75,318.01358
2019-02-07,311.15,318.85748
2019-02-08,313.25,319.97336
2019-02-11,312.2,321.26193
2019-02-12,311.25,322.61185
2019-02-13,310.55,323.89355
2019-02-14,300.8,324.98413
2019-02-15,304.6,325.61215
2019-02-18,302.55,325.66876
2019-02-19,303.7,325.15036
2019-02-20,309.0,324.17834
2019-02-21,309.9,323.0374
2019-02-22,313.85,322.0173
2019-02-25,317.25,321.39072
2019-02-26,315.45,321.3663
2019-02-27,320.15,321.96143
2019-02-28,318.05,323.1444
2019-03-01,307.65,324.75217
2019-03-05,307.85,326.35687
2019-03-06,309.4,327.5762
2019-03-07,307.65,328.22397
